id,immOpt,delOpt,odds,probability,delay,task
128,3.565011551,100,9,10,180,loss
129,3.558440264,100,9,10,365,loss
130,3.532745014,100,9,10,1095,loss
131,9.9970009,100,3,25,30,loss
132,9.991008093,100,3,25,90,loss
133,9.982032342,100,3,25,180,loss
134,9.96363274,100,3,25,365,loss
135,9.891686038,100,3,25,1095,loss
136,24.99250225,100,1,50,30,loss
137,24.97752023,100,1,50,90,loss
138,24.95508085,100,1,50,180,loss
139,24.90908185,100,1,50,365,loss
140,24.72921509,100,1,50,1095,loss
141,50.0100095,100,0.333,75,30,loss
142,49.98003048,100,0.333,75,90,loss
143,49.93512927,100,0.333,75,180,loss
144,49.84308525,100,0.333,75,365,loss
145,49.48317178,100,0.333,75,1095,loss
146,74.99625581,100,0.111,90,30,loss
147,74.95129852,100,0.111,90,90,loss
148,74.88396355,100,0.111,90,180,loss
149,74.74593204,100,0.111,90,365,loss
150,74.20619683,100,0.111,90,1095,loss
151,0.093984962,50,9,10,30,loss
152,0.032467532,50,9,10,90,loss
153,0.0163827,50,9,10,180,loss
154,0.008116883,50,9,10,365,loss
155,0.002713851,50,9,10,1095,loss
156,0.263157895,50,3,25,30,loss
157,0.090909091,50,3,25,90,loss
158,0.04587156,50,3,25,180,loss
159,0.022727273,50,3,25,365,loss
160,0.007598784,50,3,25,1095,loss
161,0.657894737,50,1,50,30,loss
162,0.227272727,50,1,50,90,loss
163,0.114678899,50,1,50,180,loss
164,0.056818182,50,1,50,365,loss
165,0.01899696,50,1,50,1095,loss
166,1.316447698,50,0.333,75,30,loss
167,0.454772841,50,0.333,75,90,loss
168,0.229472534,50,0.333,75,180,loss
169,0.11369321,50,0.333,75,365,loss
170,0.038012927,50,0.333,75,1095,loss
171,1.974177755,50,0.111,90,30,loss
172,0.681988679,50,0.111,90,90,loss
173,0.344122728,50,0.111,90,180,loss
174,0.17049717,50,0.111,90,365,loss
175,0.057005133,50,0.111,90,1095,loss
176,0.187969925,100,9,10,30,loss
177,0.064935065,100,9,10,90,loss
178,0.0327654,100,9,10,180,loss
179,0.016233766,100,9,10,365,loss
180,0.005427703,100,9,10,1095,loss
181,0.526315789,100,3,25,30,loss
182,0.181818182,100,3,25,90,loss
183,0.091743119,100,3,25,180,loss
184,0.045454545,100,3,25,365,loss
185,0.015197568,100,3,25,1095,loss
186,1.315789474,100,1,50,30,loss
187,0.454545455,100,1,50,90,loss
188,0.229357798,100,1,50,180,loss
189,0.113636364,100,1,50,365,loss
190,0.037993921,100,1,50,1095,loss
191,2.632895395,100,0.333,75,30,loss
192,0.909545682,100,0.333,75,90,loss
193,0.458945069,100,0.333,75,180,loss
194,0.22738642,100,0.333,75,365,loss
195,0.076025855,100,0.333,75,1095,loss
196,3.94835551,100,0.111,90,30,loss
197,1.363977358,100,0.111,90,90,loss
198,0.688245456,100,0.111,90,180,loss
199,0.340994339,100,0.111,90,365,loss
200,0.114010265,100,0.111,90,1095,loss
201,5,50,9,10,0,loss
202,10,100,9,10,0,loss
203,12.5,50,3,25,0,loss
204,25,100,3,25,0,loss
205,25,50,1,50,0,loss
206,50,100,1,50,0,loss
207,37.50937734,50,0.333,75,0,loss
208,75.01875469,100,0.333,75,0,loss
209,45.00450045,50,0.111,90,0,loss
210,90.0090009,100,0.111,90,0,loss
211,1.785714286,50,9,10,0,loss
212,3.571428571,100,9,10,0,loss
213,5,50,3,25,0,loss
214,10,100,3,25,0,loss
215,12.5,50,1,50,0,loss
216,25,100,1,50,0,loss
217,25.01250625,50,0.333,75,0,loss
218,50.02501251,100,0.333,75,0,loss
219,37.50937734,50,0.111,90,0,loss
220,75.01875469,100,0.111,90,0,loss
221,49.9850045,50,0,100,30,loss
222,99.970009,100,0,100,30,loss
223,49.95504046,50,0,100,90,loss
224,99.91008093,100,0,100,90,loss
225,49.91016171,50,0,100,180,loss
226,99.82032342,100,0,100,180,loss
227,49.8181637,50,0,100,365,loss
228,99.6363274,100,0,100,365,loss
229,49.45843019,50,0,100,1095,loss
230,98.91686038,100,0,100,1095,loss
231,2.631578947,50,0,100,30,loss
232,5.263157895,100,0,100,30,loss
233,0.909090909,50,0,100,90,loss
234,1.818181818,100,0,100,90,loss
235,0.458715596,50,0,100,180,loss
236,0.917431193,100,0,100,180,loss
237,0.227272727,50,0,100,365,loss
238,0.454545455,100,0,100,365,loss
239,0.075987842,50,0,100,1095,loss
240,0.151975684,100,0,100,1095,loss
